TDAY,Close,Open,High,Low,Variance
2022.2.2,14417.5,14494.5,14504.8,14264.6,0.005
2022.2.1,14346,14277.4,14358.7,14070.8,0.0075
2022.1.31,14239.9,13812.2,14242.9,13767.7,0.0341
2022.1.28,13770.6,13436.7,13771.9,13236.6,0.0313
2022.1.27,13352.8,13711,13765.9,13322.7,-0.014
2022.1.26,13542.1,13871.8,14002.7,13392.2,0.0002
2022.1.25,13539.3,13610.9,13781.6,13414.1,-0.0228
2022.1.24,13855.1,13481.5,13876.6,13094.7,0.0063
2022.1.21,13768.9,14046.2,14171.7,13764.2,-0.0272
2022.1.20,14154,14462.9,14642,14140.8,-0.013
2022.1.19,14340.3,14582.2,14658.9,14331.7,-0.0115
2022.1.18,14506.9,14681.8,14740.5,14482.9,-0.026
2022.1.14,14893.8,14708,14897.7,14689.4,0.0059
2022.1.13,14806.8,15245,15259.7,14782.2,-0.0251
2022.1.12,15188.4,15263.1,15319,15117.3,0.0023
2022.1.11,15153.4,14919.3,15158.7,14837.6,0.0141
2022.1.10,14942.8,14751.8,14953.9,14530.2,0.0005
2022.1.7,14935.9,15095.7,15171,14877.6,-0.0096
2022.1.6,15080.9,15024.2,15198.4,14914.9,-0.0013
2022.1.5,15100.2,15547.2,15586.3,15095.2,-0.0334
2022.1.4,15622.7,15852.1,15852.1,15512.4,-0.0133
2022.1.3,15832.8,15732.5,15832.8,15644.1,0.012
2021.12.31,15645,15722.9,15777.4,15643.9,-0.0061
2021.12.30,15741.6,15759,15868.1,15729.2,-0.0016
2021.12.29,15766.2,15794.9,15821.8,15679.9,-0.001
2021.12.28,15781.7,15895.2,15901.5,15757.1,-0.0056
2021.12.27,15871.3,15696.8,15871.4,15696.8,0.0139
2021.12.23,15653.4,15544.8,15698,15528.9,0.0085
2021.12.22,15521.9,15319.2,15526,15303.1,0.0118
2021.12.21,15341.1,15140.4,15349.1,15015,0.024
2021.12.20,14980.9,14933,15007.3,14860,-0.0124
2021.12.17,15169.7,15036.8,15288.8,14960.4,-0.0007
2021.12.16,15180.4,15629.1,15633.2,15119.5,-0.0247
2021.12.15,15565.6,15230.7,15575.8,15055.2,0.0215
2021.12.14,15237.6,15216,15317.6,15097.4,-0.0114
2021.12.13,15413.3,15621.3,15637.1,15408.2,-0.0139
2021.12.10,15630.6,15629.6,15677.6,15477.9,0.0073
2021.12.9,15517.4,15720.5,15796.1,15511.1,-0.0171
2021.12.8,15787,15690.7,15792.6,15618.9,0.0064
2021.12.7,15686.9,15510.9,15720.1,15507.7,0.0303
2021.12.6,15225.2,15117.6,15282,14931.6,0.0093
2021.12.3,15085.5,15428.7,15470.4,14931.1,-0.0192
2021.12.2,15381.3,15181.8,15444.5,15150.1,0.0083
2021.12.1,15254.1,15752.3,15816.8,15243.9,-0.0183
2021.11.30,15537.7,15716.5,15828.2,15451.4,-0.0155
2021.11.29,15782.8,15719.4,15833.1,15644.6,0.0188
2021.11.26,15491.7,15664.4,15731.5,15456.1,-0.0223
2021.11.24,15845.2,15677.9,15848.6,15591.4,0.0044
2021.11.23,15775.1,15809.5,15895.9,15601.5,-0.005
2021.11.22,15854.8,16120.9,16212.2,15851,-0.0126
2021.11.19,16057.4,16042.2,16121.1,16017.2,0.004
2021.11.18,15993.7,15973.4,16010.9,15848.8,0.0045
2021.11.17,15921.6,15973.6,15998.6,15909.4,-0.0033
2021.11.16,15973.9,15840.3,15989.6,15825,0.0076
2021.11.15,15853.8,15894.8,15918.5,15778.3,-0.0004
2021.11.12,15861,15752.6,15874.6,15705.4,0.01
2021.11.11,15704.3,15752.1,15768,15695.8,0.0052
2021.11.10,15622.7,15753.8,15867.2,15543.7,-0.0166
2021.11.9,15886.5,16024.1,16035.2,15836.7,-0.006
2021.11.8,15982.4,15995.7,16038.2,15961.8,0.0007
2021.11.5,15971.6,16003.6,16053.4,15900.8,0.002
2021.11.4,15940.3,15849.7,15966.1,15827.7,0.0081
2021.11.3,15811.6,15658.5,15821.6,15616.4,0.0104
2021.11.2,15649.6,15584,15656.6,15569.3,0.0034
2021.11.1,15595.9,15541.3,15598.9,15470.8,0.0063
2021.10.29,15498.4,15323.3,15504.1,15323.3,0.0033
2021.10.28,15448.1,15304.7,15452.3,15290.3,0.0139
2021.10.27,15235.8,15276,15364.5,15235.8,0
2021.10.26,15235.7,15317.5,15384,15198.2,0.0006
2021.10.25,15226.7,15142.9,15259.6,15070.8,0.009
