"TDAY","TICKER","Close","High","Open","Low","Volume","ID","Name","COMPANY_NAME","INDUSTRY","IS_MAIN_STOCK","before","after"
"1999-12-31","PEP",20.294958114624,20.5468458926424,20.4388939877774,20.294958114624,1223500,74033,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,NA,NA
"2000-01-03","PEP",21.230541229248,21.5184129747294,20.3669259928041,20.1510221836931,5298400,74034,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,NA,NA
"2000-01-04","PEP",20.6907768249512,21.6263597770359,21.0506164219068,20.5828249458645,4555700,74035,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,NA,NA
"2000-01-05","PEP",20.1870002746582,20.906679428835,20.6188077671643,20.0790484015317,5701900,74036,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,NA,NA
"2000-01-06","PEP",21.086597442627,21.230533261348,20.0070788022194,19.8631429834984,6863100,74037,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,NA,NA
"2000-01-07","PEP",21.6623344421387,22.2380775502354,21.2305271110661,21.122575278298,10527800,74038,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,NA,NA
"2000-01-10","PEP",21.230541229248,21.9862045611365,21.9502205929514,21.0866053565074,6402500,74039,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,NA,NA
"2000-01-11","PEP",21.1585712432861,21.6623467490787,21.4464429608819,21.0866033138872,5607800,74040,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,NA,NA
"2000-01-12","PEP",20.9066791534424,21.446438511965,21.1585668540863,20.9066791534424,4267300,74041,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,NA,NA
"2000-01-13","PEP",20.6907768249512,21.0866003816024,20.9066805831246,20.6907768249512,3144200,74042,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,NA,NA
"2000-01-14","PEP",20.8347091674805,21.1945487040518,20.7627412601662,20.6907733528519,5413700,74043,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,NA,NA
"2000-01-18","PEP",20.870698928833,21.3025064928778,20.690779110481,20.4748753284586,4821600,74044,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,NA,NA
"2000-01-19","PEP",20.978645324707,21.2305330044205,21.2305330044205,20.6907736907488,3999700,74045,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,NA,NA
"2000-01-20","PEP",20.7987270355225,20.9786468195668,20.9786468195668,20.7267591219047,3106100,74046,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,NA,NA
"2000-01-21","PEP",20.7987270355225,20.9786468195668,20.8347109923313,20.5828232946693,4454400,74047,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,NA,NA
"2000-01-24","PEP",20.3309326171875,20.9426597932799,20.8347079386753,20.0430610049087,3785000,74048,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,NA,NA
"2000-01-25","PEP",19.7551975250244,20.3669249529396,20.3309409865916,19.5033097605888,4356500,74049,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,NA,NA
"2000-01-26","PEP",19.5392894744873,20.1150328107521,19.7551932255866,19.4313375989377,3174100,74050,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,NA,NA
"2000-01-27","PEP",19.467321395874,19.7551930616171,19.5752732705277,19.1434657719131,2610100,74051,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,NA,NA
"2000-01-28","PEP",19.1434650421143,19.5752725242672,19.3233848263447,19.1074810852682,4090800,74052,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,NA,NA
"2000-01-31","PEP",19.6472339630127,19.7911697429615,19.2873945131407,19.1434587331919,2989600,74053,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,NA,NA
"2000-02-01","PEP",19.5752735137939,19.7551933071193,19.5752735137939,19.3953537204686,3602600,74054,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,NA,NA
"2000-02-02","PEP",18.9995269775391,19.5392862666737,19.4313344088468,18.9635430249301,3289100,74055,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,NA,NA
"2000-02-03","PEP",19.0355110168457,19.21543078071,18.9995270640728,18.7836233474356,3662900,74056,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,NA,NA
"2000-02-04","PEP",18.8555927276611,19.6472397505782,19.3593681058811,18.7836248164869,3885600,74057,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,NA,NA
"2000-02-07","PEP",18.6396865844727,19.1074779466312,18.9275581919549,18.5677186826021,3999700,74058,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,NA,NA
"2000-02-08","PEP",19.1794528961182,19.4313406452229,19.1794528961182,18.9995330753291,5010500,74059,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,NA,NA
"2000-02-09","PEP",19.5752735137939,20.2229847697651,20.1510168524349,19.4313376791337,8432500,74060,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,NA,NA
"2000-02-10","PEP",19.9351119995117,20.079047826223,20.079047826223,19.6112563894113,5909500,74061,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,NA,NA
"2000-02-11","PEP",19.7911796569824,20.2229872131348,20.1510192871094,19.5752758789063,5530400,74062,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,NA,NA
"2000-02-14","PEP",19.6112518310547,19.8631394692517,19.6832197276824,19.539283934427,3493300,74063,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,-0.0746005379330009,-0.0222295774164222
"2000-02-15","PEP",19.6832256317139,20.0790491818946,19.5752737543919,19.5752737543919,3909600,74064,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,-0.0775422330305053,-0.0183723956756437
"2000-02-16","PEP",19.5752735137939,20.0430649764398,19.6472414311241,19.5392895551289,4606800,74065,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,-0.0738278276397714,-0.0109159036463765
"2000-02-17","PEP",19.7551975250244,20.043069255808,19.8991333904162,19.7192135586765,2847700,74066,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,-0.0735870695519666,0.00630555712146785
"2000-02-18","PEP",19.7192134857178,20.0070852154363,19.7911814181474,19.5392936546437,3664500,74067,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,-0.0736632719316365,0.0200735971284831
"2000-02-22","PEP",19.9710941314697,20.0790459916398,19.7551904111295,19.6472385509594,2929400,74068,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,-0.0685113295240663,0.0381585224931234
"2000-02-23","PEP",19.6832256317139,20.0070812636799,19.7551935499285,19.5752737543919,3249300,74069,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,-0.0579110245736146,0.0594112982213244
"2000-02-24","PEP",19.5752735137939,19.7911772657843,19.611257472459,19.1074820511481,3612800,74070,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,-0.0504244554087431,0.0786834036557151
"2000-02-25","PEP",18.8555927276611,19.7911755729268,19.5752718394039,18.819608772074,4205500,74071,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,-0.0439287179169813,0.09768289997724
"2000-02-28","PEP",19.1434650421143,19.5033046105751,19.1074810852682,18.8555933873456,3654700,74072,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,-0.0427180145703862,0.106917392908659
"2000-02-29","PEP",18.4957523345947,19.0355116439701,18.927559782095,18.4957523345947,4635500,74073,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,-0.0394832510879879,0.116071939201265
"2000-03-01","PEP",18.7476387023926,18.9635424110574,18.4237831393954,18.3518152365071,5496400,74074,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,-0.0388157764050974,0.12267400427038
"2000-03-02","PEP",18.1719036102295,18.9275669286747,18.8196150260397,18.1719036102295,5170400,74075,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,-0.0358822273792636,0.131985318629102
"2000-03-03","PEP",18.2078742980957,18.7116494763039,18.7116494763039,18.0279545915928,4626600,74076,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,-0.035024727938103,0.133533195291594
"2000-03-06","PEP",17.8480415344238,18.0999292173693,17.8840254891303,17.6681217608913,4457900,74077,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,-0.0337178056385073,0.133193142925016
"2000-03-07","PEP",17.6321411132812,18.1359165736607,17.8480448820153,17.0923816914461,7053200,74078,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,-0.0338520901585163,0.131106459182137
"2000-03-08","PEP",17.6379261016846,18.2162187607562,17.9270724312204,17.3849230633407,5159800,74079,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,-0.0371202236686494,0.123492615924362
"2000-03-09","PEP",18.1439247131348,18.3607843710607,17.7824919499249,17.7102053972829,3913200,74080,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,-0.0418498297838675,0.109313891645241
"2000-03-10","PEP",17.7824935913086,18.1439263878799,17.9632099895943,17.6379204726801,3649100,74081,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,-0.0434012367178478,0.103271014997658
"2000-03-13","PEP",17.9993572235107,18.0355005111082,17.4210646219522,17.4210646219522,4308000,74082,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,-0.0472039774560975,0.097341818789602
"2000-03-14","PEP",17.7463531494141,17.7824964348507,17.7102098639774,17.4210635804839,4602900,74083,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,-0.0508071862629583,0.0899069314165215
"2000-03-15","PEP",19.1920833587646,19.1920833587646,17.601778899658,17.5294923333349,5463800,74084,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,-0.0524977159068869,0.081399383265751
"2000-03-16","PEP",19.6980876922607,19.7703742525993,19.0836519293829,18.6499325673515,5410300,74085,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,-0.0466628341455432,0.0797216308561521
"2000-03-17","PEP",19.0836563110352,19.6258056380532,19.0836563110352,18.9752264456315,4464500,74086,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,-0.0414351340194529,0.0778094368341882
"2000-03-20","PEP",19.2282314300537,19.4450911830242,18.7945119241126,18.6499387554656,2643800,74087,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,-0.0393900669771621,0.0725984643105036
"2000-03-21","PEP",19.8426570892334,19.8426570892334,19.3005079884347,18.8667887077957,5479700,74088,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,-0.0377626599526911,0.0691682556044738
"2000-03-22","PEP",19.3727989196777,19.8788048616096,19.8426615800431,18.939079540879,3431700,74089,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,-0.0347998058052277,0.0693035536453138
"2000-03-23","PEP",19.3727989196777,19.6619451722102,19.0113661040121,18.939079540879,3792400,74090,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,-0.0313459707456017,0.0628983623252139
"2000-03-24","PEP",19.0475082397461,19.3727977542769,19.0836515191384,18.8306485633922,3345700,74091,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,-0.025796727177494,0.0580228940183974
"2000-03-27","PEP",18.7131824493408,19.0475077755724,18.9390779400378,18.2523556483189,3397100,74092,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,-0.0201473940342477,0.0522352961201498
"2000-03-28","PEP",18.7945079803467,19.1559408261226,18.324645280838,18.2523587116828,4814300,74093,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,-0.0164465506494649,0.0425764183962306
"2000-03-29","PEP",19.2282314300537,19.481234475186,18.7222253397891,18.7222253397891,4254400,74094,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,-0.0130260289870367,0.0365820927951982
"2000-03-30","PEP",20.7823886871338,20.7823886871338,19.625803577589,19.5535170082424,6850900,74095,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,-0.00744164502874875,0.0342387211367634
"2000-03-31","PEP",20.1679496765137,20.8546719773269,20.8185286983367,19.9872332815628,4957600,74096,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,0.00416432961559486,0.0368933430353589
"2000-04-03","PEP",20.8908157348633,21.0353888541357,20.0233770192288,20.0233770192288,4337100,74097,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,0.0131607069827054,0.0358831360588531
"2000-04-04","PEP",21.0715351104736,21.5413978144808,20.8908186858555,20.4932425516956,5803400,74098,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,0.0245950643143544,0.0368645216786926
"2000-04-05","PEP",21.252254486084,21.6136873855072,21.3968276458533,21.1076813263147,4780500,74099,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,0.0370044476327364,0.0376542925537501
"2000-04-06","PEP",21.2883930206299,21.577539275579,21.2161064568926,20.8908169200748,4050000,74100,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,0.0483315183647661,0.0401509461005256
"2000-04-07","PEP",20.8185367584229,21.1438263952732,21.0715398093065,20.4209605356057,3829600,74101,"PEP","PepsiCo, Inc.","Beverages—Non-Alcoholic",1,0.0584250249323776,0.0415774249046456
